Epoch,Training Loss,Validation Loss,Validation F1 Score,Validation Accuracy
1,0.6867421095569929,0.6781224931279818,0.4279181783566604,0.5817465528562049
2,0.6723761844138304,0.6390915984908739,0.5277738932100198,0.603414313854235
3,0.5974871007104715,0.5645695825417837,0.724930417480981,0.7353906762967827
4,0.5039207519342502,0.5326448592046896,0.7316327324162532,0.7413000656598818
5,0.4306843609859546,0.5191301504770914,0.7533303475189898,0.7609980302035456
6,0.3621392597754796,0.5295702293515205,0.7636794968823233,0.7655942219304005
7,0.29966438716898364,0.5795036554336548,0.7626757869316475,0.7636244254760342
8,0.2608749270439148,0.5874298301835855,0.7564982950928623,0.757715036112935
9,0.22784811537712812,0.6587128813068072,0.7634400723318308,0.7655942219304005
10,0.2053864155896008,0.8136034632722536,0.7564135749399771,0.7570584372948129
11,0.19698836173241338,0.9520568611721197,0.7568714892072941,0.7564018384766907
12,0.17319731088355184,0.8851862860222658,0.7510812951228892,0.7518056467498359
13,0.16476279388492307,0.7419678146640459,0.7608628901805089,0.7616546290216678
14,0.15202493484442434,1.0783914004762967,0.7512114385640278,0.7518056467498359
15,0.14508138100306192,0.9550674185156822,0.7547332684331662,0.7537754432042022
16,0.13987076344589391,1.1270805622140567,0.755911993175983,0.7564018384766907
17,0.1330761321199437,1.0266833206017811,0.7505957164737062,0.7518056467498359
18,0.1290562756670018,1.1305821910500526,0.7580271273870371,0.7590282337491793
19,0.12377311242744327,1.1033824011683464,0.7529513005857189,0.7531188443860801
20,0.11658903195833166,1.2447132493058841,0.7465051905128616,0.747209455022981
